,name,full_name,language,description,private,url
35,amazon-s3-gst-plugin,amzn/amazon-s3-gst-plugin,C,A collection of Amazon S3 GStreamer elements.,False,https://api.github.com/repos/amzn/amazon-s3-gst-plugin
36,amazon-sidewalk-android-samples,amzn/amazon-sidewalk-android-samples,Kotlin,Sidewalk Mobile SDK is for mobile developers who want to build customized Sidewalk applications.,False,https://api.github.com/repos/amzn/amazon-sidewalk-android-samples
37,amazon-sidewalk-ios-samples,amzn/amazon-sidewalk-ios-samples,Swift,Sidewalk Mobile SDK is for mobile developers who want to build customized Sidewalk applications. ,False,https://api.github.com/repos/amzn/amazon-sidewalk-ios-samples
38,amazon-succinct-doc-representation,amzn/amazon-succinct-doc-representation,Python,,False,https://api.github.com/repos/amzn/amazon-succinct-doc-representation
39,amazon-template-library,amzn/amazon-template-library,C++,A collection of general purpose C++ utilities that play well with the Standard Library and Boost.,False,https://api.github.com/repos/amzn/amazon-template-library
40,amazon-weak-ner-needle,amzn/amazon-weak-ner-needle,Python,Named Entity Recognition with Small Strongly Labeled and Large Weakly Labeled Data,False,https://api.github.com/repos/amzn/amazon-weak-ner-needle
41,amigitenough,amzn/amigitenough,Go,,False,https://api.github.com/repos/amzn/amigitenough
42,amzn-drivers,amzn/amzn-drivers,C,Official AWS drivers repository for Elastic Network Adapter (ENA) and Elastic Fabric Adapter (EFA),False,https://api.github.com/repos/amzn/amzn-drivers
43,amzn-ec2-ena-utilities,amzn/amzn-ec2-ena-utilities,Python,,False,https://api.github.com/repos/amzn/amzn-ec2-ena-utilities
44,auction-gym,amzn/auction-gym,Jupyter Notebook,AuctionGym is a simulation environment that enables reproducible evaluation of bandit and reinforcement learning methods for online advertising auctions.,False,https://api.github.com/repos/amzn/auction-gym
45,autotrail,amzn/autotrail,Python,"AutoTrail is a highly modular, partial automation workflow engine providing run time execution control",False,https://api.github.com/repos/amzn/autotrail
46,aws-apigateway-client-lib,amzn/aws-apigateway-client-lib,,,False,https://api.github.com/repos/amzn/aws-apigateway-client-lib
47,aws-sigv4-signing-samples,amzn/aws-sigv4-signing-samples,Java,This package contains sample code demonstrating SigV4 signing using AWS Java SDK.,False,https://api.github.com/repos/amzn/aws-sigv4-signing-samples
48,awsssmchaosrunner,amzn/awsssmchaosrunner,Kotlin,Amazon's light-weight library for chaos engineering on AWS. It can be used for EC2 and ECS (with EC2 launch type).,False,https://api.github.com/repos/amzn/awsssmchaosrunner
49,basis-point-sets,amzn/basis-point-sets,Python,,False,https://api.github.com/repos/amzn/basis-point-sets
50,buy-with-prime-automate-tenant-validation,amzn/buy-with-prime-automate-tenant-validation,JavaScript,,False,https://api.github.com/repos/amzn/buy-with-prime-automate-tenant-validation
51,buy-with-prime-event-accelerator,amzn/buy-with-prime-event-accelerator,Python,,False,https://api.github.com/repos/amzn/buy-with-prime-event-accelerator
52,buy-with-prime-oauth-handler-ec2,amzn/buy-with-prime-oauth-handler-ec2,JavaScript,,False,https://api.github.com/repos/amzn/buy-with-prime-oauth-handler-ec2
53,buy-with-prime-saas-integration,amzn/buy-with-prime-saas-integration,TypeScript,,False,https://api.github.com/repos/amzn/buy-with-prime-saas-integration
54,chalet-charging-location-for-electric-trucks,amzn/chalet-charging-location-for-electric-trucks,Python,Optimization tool to identify charging locations for electric trucks,False,https://api.github.com/repos/amzn/chalet-charging-location-for-electric-trucks
55,computer-vision-basics-in-microsoft-excel,amzn/computer-vision-basics-in-microsoft-excel,,Computer Vision Basics in Microsoft Excel (using just formulas),False,https://api.github.com/repos/amzn/computer-vision-basics-in-microsoft-excel
56,confident-sinkhorn-allocation,amzn/confident-sinkhorn-allocation,Jupyter Notebook,Pseudo-labeling for tabular data,False,https://api.github.com/repos/amzn/confident-sinkhorn-allocation
57,convolutional-handwriting-gan,amzn/convolutional-handwriting-gan,Python,ScrabbleGAN: Semi-Supervised Varying Length Handwritten Text Generation (CVPR20),False,https://api.github.com/repos/amzn/convolutional-handwriting-gan
58,cosearcher,amzn/cosearcher,Python,,False,https://api.github.com/repos/amzn/cosearcher
59,credence-to-causal-estimation,amzn/credence-to-causal-estimation,Python,A framework for generating complex and realistic datasets for use in evaluating causal inference methods.,False,https://api.github.com/repos/amzn/credence-to-causal-estimation
60,data-jack-knife,amzn/data-jack-knife,Java,,False,https://api.github.com/repos/amzn/data-jack-knife
61,debiased-balanced-interleaving,amzn/debiased-balanced-interleaving,Jupyter Notebook,,False,https://api.github.com/repos/amzn/debiased-balanced-interleaving
62,differential-privacy-bayesian-optimization,amzn/differential-privacy-bayesian-optimization,Python,"This repo contains the underlying code for all the experiments from the paper: ""Automatic Discovery of Privacy-Utility Pareto Fronts""",False,https://api.github.com/repos/amzn/differential-privacy-bayesian-optimization
63,distance-assistant,amzn/distance-assistant,Python,Pedestrian monitor that provides visual feedback to help ensure proper social distancing guidelines are being observed,False,https://api.github.com/repos/amzn/distance-assistant
64,drs-sample-android-app,amzn/drs-sample-android-app,Java,ARCHIVED: A sample DRS companion application demonstrating how to use LWA and DRS API endpoints. ,False,https://api.github.com/repos/amzn/drs-sample-android-app
65,drs-sample-ios-app,amzn/drs-sample-ios-app,Objective-C,ARCHIVED: A sample DRS companion application demonstrating how to use LWA and DRS API endpoints. ,False,https://api.github.com/repos/amzn/drs-sample-ios-app
66,emukit-playground,amzn/emukit-playground,JavaScript,A web page explaining concepts of statistical emulation and making decisions under uncertainty in an interactive way. ,False,https://api.github.com/repos/amzn/emukit-playground
67,eslint-plugin-no-date-parsing,amzn/eslint-plugin-no-date-parsing,TypeScript,Disallow string parsing with new Date and Date.parse.,False,https://api.github.com/repos/amzn/eslint-plugin-no-date-parsing
68,exoplayer-amazon-port,amzn/exoplayer-amazon-port,Java,Official port of ExoPlayer for Amazon devices,False,https://api.github.com/repos/amzn/exoplayer-amazon-port
69,explainable-text-vqa,amzn/explainable-text-vqa,,,False,https://api.github.com/repos/amzn/explainable-text-vqa
70,faithful-data2text-cycle-training,amzn/faithful-data2text-cycle-training,Python,,False,https://api.github.com/repos/amzn/faithful-data2text-cycle-training
71,fashion-attribute-disentanglement,amzn/fashion-attribute-disentanglement,Python,,False,https://api.github.com/repos/amzn/fashion-attribute-disentanglement
72,fire-app-builder,amzn/fire-app-builder,Java,"Fire App Builder is a framework for building java media apps for Fire TV, allowing you to add your feed of media content to a configuration file and build an app to browse and play it quickly.",False,https://api.github.com/repos/amzn/fire-app-builder
73,firetv-sample-touch-app,amzn/firetv-sample-touch-app,Java,This sample Android project demonstrates how to build the main UI of a Fire TV application in order to support both Touch interactions and Remote D-Pad controls.,False,https://api.github.com/repos/amzn/firetv-sample-touch-app
74,ftv-livetv-sample-tv-app,amzn/ftv-livetv-sample-tv-app,Java,,False,https://api.github.com/repos/amzn/ftv-livetv-sample-tv-app
75,gameon-sample-game-unity,amzn/gameon-sample-game-unity,C#,This sample game showcases how GameOn APIs can be integrated into the Unity Game Engine. It includes art assets as well as code that could be executed and built directly using the Unity Game Engine.,False,https://api.github.com/repos/amzn/gameon-sample-game-unity
76,gameon-starter-kit-unity,amzn/gameon-starter-kit-unity,C#,"With the GameOn Unity Starter Kit, Unity game developers can easily test out all the endpoints that GameOn Game API provides before even integrating them in their game client. It also provides an avenue for us to showcase best practices while calling the GameOn API.",False,https://api.github.com/repos/amzn/gameon-starter-kit-unity
77,git-commit-template,amzn/git-commit-template,JavaScript,Set commit templates for git,False,https://api.github.com/repos/amzn/git-commit-template
78,glad,amzn/glad,JavaScript,Generate Layer Diagram from your Javascript/Typescript app,False,https://api.github.com/repos/amzn/glad
79,golang-gitoperations,amzn/golang-gitoperations,Go,,False,https://api.github.com/repos/amzn/golang-gitoperations
80,halo-third-party-sdk-for-java,amzn/halo-third-party-sdk-for-java,Java,⛔️ DEPRECATED - The Halo Third Party SDK for Java makes it easier for you to verify events and allows you to spend more time on implementing features and less on writing boiler-plate code.,False,https://api.github.com/repos/amzn/halo-third-party-sdk-for-java
81,halo-third-party-sdk-for-node-js,amzn/halo-third-party-sdk-for-node-js,TypeScript,⛔️ DEPRECATED - The Halo Third Party SDK for Node.js makes it easier for you to verify events and allows you to spend more time on implementing features and less on writing boiler-plate code.,False,https://api.github.com/repos/amzn/halo-third-party-sdk-for-node-js
82,halo-third-party-sdk-for-python,amzn/halo-third-party-sdk-for-python,Python,⛔️ DEPRECATED - The Halo Third Party SDK for Python makes it easier for you to verify events and allows you to spend more time on implementing features and less on writing boiler-plate code.,False,https://api.github.com/repos/amzn/halo-third-party-sdk-for-python
83,hawktracer,amzn/hawktracer,C++,"HawkTracer is a highly portable, low-overhead, configurable profiling tool built in Amazon Video for getting performance metrics from low-end devices.",False,https://api.github.com/repos/amzn/hawktracer
84,image-misspell-coling2020,amzn/image-misspell-coling2020,,"This repository releases the Image-MisSpell Dataset as part of the COLING 2020 paper ""Misspelling Detection from Noisy Product Images""",False,https://api.github.com/repos/amzn/image-misspell-coling2020
85,image-to-recipe-transformers,amzn/image-to-recipe-transformers,Python,Code for CVPR 2021 paper: Revamping Cross-Modal Recipe Retrieval with Hierarchical Transformers and Self-supervised Learning,False,https://api.github.com/repos/amzn/image-to-recipe-transformers
86,ion-object-mapper-dotnet,amzn/ion-object-mapper-dotnet,C#,,False,https://api.github.com/repos/amzn/ion-object-mapper-dotnet
87,jekyll-doc-project,amzn/jekyll-doc-project,HTML,This repository contains an open-source Jekyll theme for authoring and publishing technical documentation. This theme is used by Appstore/Alexa tech writers and other community members. Most of the theme's files are stored in a Ruby Gem (called jekyll-doc-project).,False,https://api.github.com/repos/amzn/jekyll-doc-project
88,kqr,amzn/kqr,,,False,https://api.github.com/repos/amzn/kqr
89,login-with-amazon-oscommerce,amzn/login-with-amazon-oscommerce,PHP,A pre-integrated plugin that can be installed into an osCommerce powered website to integrate with Login with Amazon.,False,https://api.github.com/repos/amzn/login-with-amazon-oscommerce
90,login-with-amazon-wordpress,amzn/login-with-amazon-wordpress,PHP, A pre-integrated plugin that can be installed into a Wordpress powered website to integrate with Login with Amazon.,False,https://api.github.com/repos/amzn/login-with-amazon-wordpress
91,merlin-on-demand-callgraph,amzn/merlin-on-demand-callgraph,JavaScript,Experimental prototype for precise and scalable call graph construction for JavaScript using Synchronized Push-Down Systems,False,https://api.github.com/repos/amzn/merlin-on-demand-callgraph
